Destination,myfield,type,formula,notes_may_need_to_delete_column
RR,gini,Agg,(B19083_001),
RR,md_cfm_inc,Agg,(B19125_002),
RR,unins_ch_c,Agg,(B27001_005 + B27001_033),
RR,unins_ch,Prop,(B27001_005 + B27001_033) / (B27001_003 + B27001_031) * 100,
RR,u5_fmpv_c,Agg,(B17010_005 + B17010_006 + B17010_012 + B17010_013 + B17010_018 + B17010_019),
RR,u5_fmpv,Prop,(B17010_005 + B17010_006 + B17010_012 + B17010_013 + B17010_018 + B17010_019) / (B17010_005 + B17010_006 + B17010_012 + B17010_013 + B17010_018 + B17010_019 + B17010_026 + B17010_027 + B17010_032 + B17010_033 + B17010_038 + B17010_039) * 100,
RR,pub_ast_c,Agg,(B19057_002),
RR,pub_ast,Prop,(B19057_002) / B19057_001 * 100,
RR,hc_brdn_c,Agg,(B25106_006 + B25106_010 + B25106_014 + B25106_018 + B25106_022 + B25106_023 + B25106_028 + B25106_032 + B25106_036 + B25106_040 + B25106_044 + B25106_045),
RR,hc_brdn,Prop,(B25106_006 + B25106_010 + B25106_014 + B25106_018 + B25106_022 + B25106_023 + B25106_028 + B25106_032 + B25106_036 + B25106_040 + B25106_044 + B25106_045) / B25106_001 * 100,
RR,u5_pv_c,Agg,(B17001_004 + B17001_018),
RR,u5_pv,Prop,(B17001_004 + B17001_018) / (B17001_004 + B17001_018 + B17001_033 + B17001_047),
RR,u18_2pv_c,Agg,(B17024_003 + B17024_004 + B17024_005 + B17024_006 + B17024_007 + B17024_008 + B17024_009 + B17024_010 + B17024_016 + B17024_017 + B17024_018 + B17024_019 + B17024_020 + B17024_021 + B17024_022 + B17024_023 + B17024_029 + B17024_030 + B17024_031 + B17024_032 + B17024_033 + B17024_034 + B17024_035 + B17024_036),
RR,u18_2pv,Prop,(B17024_003 + B17024_004 + B17024_005 + B17024_006 + B17024_007 + B17024_008 + B17024_009 + B17024_010 + B17024_016 + B17024_017 + B17024_018 + B17024_019 + B17024_020 + B17024_021 + B17024_022 + B17024_023 + B17024_029 + B17024_030 + B17024_031 + B17024_032 + B17024_033 + B17024_034 + B17024_035 + B17024_036) / (B17024_002 + B17024_015 + B17024_028) * 100,
RR,u5_fm185pv_c,Agg,(B17022_005 + B17022_006 + B17022_012 + B17022_013 + B17022_018 + B17022_019 + B17022_025 + B17022_026 + B17022_032 + B17022_033 + B17022_038 + B17022_039 + B17022_045 + B17022_046 + B17022_053 + B17022_054 + B17022_058 + B17022_059),
RR,u5_fm185pv,Prop,(B17022_005 + B17022_006 + B17022_012 + B17022_013 + B17022_018 + B17022_019 + B17022_025 + B17022_026 + B17022_032 + B17022_033 + B17022_038 + B17022_039 + B17022_045 + B17022_046 + B17022_053 + B17022_054 + B17022_058 + B17022_059) / (B17022_005 + B17022_006 + B17022_012 + B17022_013 + B17022_018 + B17022_019 + B17022_025 + B17022_026 + B17022_032 + B17022_033 + B17022_038 + B17022_039 + B17022_045 + B17022_046 + B17022_053 + B17022_054 + B17022_058 + B17022_059 + B17022_065 + B17022_066 + B17022_072 + B17022_073 + B17022_078 + B17022_079) * 100,
RR,u6_2pv_c,Agg,(B17024_003 + B17024_004 + B17024_005 + B17024_006 + B17024_007 + B17024_008 + B17024_009 + B17024_010),
RR,u6_2pv,Prop,(B17024_003 + B17024_004 + B17024_005 + B17024_006 + B17024_007 + B17024_008 + B17024_009 + B17024_010) / (B17024_002) * 100,
RR,u6_pv_c,Agg,(B17024_003 + B17024_004 + B17024_005 + B17024_006),
RR,u6_pv,Prop,(B17024_003 + B17024_004 + B17024_005 + B17024_006) / (B17024_002) * 100,
RR,u5_ch185pv_c,Agg,(B17024_003 + B17024_004 + B17024_005 + B17024_006 + B17024_007 + B17024_008 + B17024_009),
RR,u5_ch185pv,Prop,(B17024_003 + B17024_004 + B17024_005 + B17024_006 + B17024_007 + B17024_008 + B17024_009) / (B17024_002) * 100,
RR,u6_apilf_c,Agg,(B23008_004 + B23008_010 + B23008_013),
RR,u6_apilf,Prop,(B23008_004 + B23008_010 + B23008_013) / (B23008_002) * 100,
RR,u5_fp185,Prop,(B17022_005 + B17022_006 + B17022_012 + B17022_013 + B17022_018 + B17022_019 + B17022_025 + B17022_026 + B17022_032 + B17022_033 + B17022_038 + B17022_039 + B17022_045 + B17022_046 + B17022_052 + B17022_053 + B17022_058 + B17022_059) / (B17022_005 + B17022_006 + B17022_012 + B17022_013 + B17022_018 + B17022_019 + B17022_025 + B17022_026 + B17022_032 + B17022_033 + B17022_038 + B17022_039 + B17022_045 + B17022_046 + B17022_052 + B17022_053 + B17022_058 + B17022_059+ B17022_065 + B17022_066 + B17022_072 + B17022_073 + B17022_078 + B17022_079) * 100,this proportion uses a different table for the denominator
RR,u5_fp185_c,Agg,(B17022_005 + B17022_006 + B17022_012 + B17022_013 + B17022_018 + B17022_019 + B17022_025 + B17022_026 + B17022_032 + B17022_033 + B17022_038 + B17022_039 + B17022_045 + B17022_046 + B17022_052 + B17022_053 + B17022_058 + B17022_059),this proportion uses a different table for the denominator
RR,u6_1prt,Prop,(B11003_011 + B11003_012 + B11003_017 + B11003_018) / (B11003_004 + B11003_005 + B11003_011 + B11003_012 + B11003_017 + B11003_018) * 100,
RR,u6_1prt_c,Agg,(B11003_011 + B11003_012 + B11003_017 + B11003_018) ,
